-575,-575,-115
-1720,-1145,-200
290,290,58
575,285,57
-570,-1145,-200
-2295,-1725,-200
-2300,-5,-1
-1150,-1150,-200
-2010,-860,-172
-2875,-865,-173
-2580,-2580,-200
-2910,-2910,-200
-860,-860,-172
5,5,1
-865,-870,-174
-865,0,0
-2650,-1785,-200
-2320,330,66
-920,-920,-184
-1545,-625,-125
-2480,-935,-187
-930,-930,-186
-2805,-1875,-200
-310,-310,-62
-1865,-1555,-200
-2490,-625,-125
-935,-935,-187
-1560,-625,-125
-2190,-630,-126
-2815,-625,-125
-935,-935,-187
-2180,-1245,-200
-2490,-310,-62
-620,-620,-124
-1240,-620,-124
-1865,-625,-125
310,310,62
-320,-630,-126
-945,-625,-125
-1570,-625,-125
-1260,310,62
-1885,-625,-125
-2500,-615,-123
-630,-630,-126
-1570,-940,-188
-1260,310,62
-2195,-935,-187
-1205,-1205,-200
-1200,5,1
-2440,-1240,-200
-2755,-315,-63
895,895,179
580,-315,-63
300,-280,-56
305,5,1
-5,-310,-62
-5,0,0
-1185,-1180,-200
-2375,-1190,-200
-2380,-5,-1
-2665,-285,-57
565,565,113
-285,-850,-170
-570,-285,-57
-855,-285,-57
-285,570,114
-1410,-1125,-200
-1125,-1125,-200
-1120,5,1
-2255,-1135,-200
-2265,-10,-2
-2545,-280,-56
-2545,0,0
-1700,845,169
-2550,-850,-170
-2545,5,1
-2825,-280,-56
-2825,0,0
-280,-280,-56
-560,-280,-56
-1405,-845,-169
-840,565,113
-2820,-1980,-200
-2265,-2265,-200
